representation,metric_status,c_value,cv_fold,train_examples,validation_examples,iterations,max_iterations,converged,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,top_3_accuracy
dinov3_vits16__patch_mean__center_crop,exploratory_candidate_cv,10.0,3,1351,342,55,3000,True,0.8450292397660819,0.857925407925408,0.8410690151766922,0.857925407925408,0.8430818729054884,0.97953216374269
dinov3_vits16__patch_mean__center_crop,exploratory_candidate_cv,10.0,4,1356,337,65,3000,True,0.7537091988130564,0.8216602248326387,0.7938731856378916,0.8216602248326387,0.7484709008675262,0.9080118694362018
dinov3_vits16__patch_mean__global_fivecrop,exploratory_candidate_cv,10.0,0,1193,500,74,3000,True,0.966,0.9297313151964314,0.9620398377285275,0.9297313151964314,0.942679345580574,0.998
dinov3_vits16__patch_mean__global_fivecrop,exploratory_candidate_cv,10.0,1,1449,244,69,3000,True,0.9631147540983607,0.8647902097902097,0.8576790176340401,0.8647902097902097,0.8608311632776054,0.9918032786885246
dinov3_vits16__patch_mean__global_fivecrop,exploratory_candidate_cv,10.0,2,1423,270,71,3000,True,0.9222222222222223,0.911228756240009,0.9203612479474549,0.911228756240009,0.9148101062207061,0.9962962962962963
dinov3_vits16__patch_mean__global_fivecrop,exploratory_candidate_cv,10.0,3,1351,342,65,3000,True,0.8801169590643275,0.882026307026307,0.8748412771646835,0.882026307026307,0.8764588948693481,0.9941520467836257
dinov3_vits16__patch_mean__global_fivecrop,exploratory_candidate_cv,10.0,4,1356,337,63,3000,True,0.7596439169139466,0.8256602248326386,0.8013631885356023,0.8256602248326386,0.7552243353057003,0.8753709198813057
dinov3_vits16__patch_mean__letterbox,exploratory_candidate_cv,10.0,0,1193,500,76,3000,True,0.952,0.90434507353112,0.9504074492502992,0.90434507353112,0.9223604710837096,0.998
dinov3_vits16__patch_mean__letterbox,exploratory_candidate_cv,10.0,1,1449,244,71,3000,True,0.9385245901639344,0.8089810189810189,0.8000609756097561,0.8089810189810189,0.8033138026594937,0.9918032786885246
dinov3_vits16__patch_mean__letterbox,exploratory_candidate_cv,10.0,2,1423,270,58,3000,True,0.9074074074074074,0.9016360983352731,0.9153061634793976,0.9016360983352731,0.9053324992253804,0.9962962962962963
dinov3_vits16__patch_mean__letterbox,exploratory_candidate_cv,10.0,3,1351,342,65,3000,True,0.9064327485380117,0.8957792207792206,0.905890212945186,0.8957792207792206,0.8985425905702005,0.9912280701754386
dinov3_vits16__patch_mean__letterbox,exploratory_candidate_cv,10.0,4,1356,337,65,3000,True,0.7299703264094956,0.8060170519136036,0.7716463136539267,0.8060170519136036,0.7174723933064622,0.857566765578635
mobilenetv3_large__model_pool__center_crop,exploratory_candidate_cv,10.0,0,1193,500,60,3000,True,0.928,0.8999988917791646,0.9112583767380164,0.8999988917791646,0.9033216618267561,0.994
mobilenetv3_large__model_pool__center_crop,exploratory_candidate_cv,10.0,1,1449,244,44,3000,True,0.9262295081967213,0.869000999000999,0.8494625647007364,0.869000999000999,0.8581461028562554,0.9918032786885246
mobilenetv3_large__model_pool__center_crop,exploratory_candidate_cv,10.0,2,1423,270,53,3000,True,0.9259259259259259,0.9105655409856459,0.9195252525252526,0.9105655409856459,0.913862253365296,0.9925925925925926
mobilenetv3_large__model_pool__center_crop,exploratory_candidate_cv,10.0,3,1351,342,44,3000,True,0.8421052631578947,0.8541125541125542,0.8317943437032984,0.8541125541125542,0.8376114457092964,0.9941520467836257
mobilenetv3_large__model_pool__center_crop,exploratory_candidate_cv,10.0,4,1356,337,39,3000,True,0.7833827893175074,0.8264572439055197,0.7993525845827307,0.8264572439055197,0.7865238779642741,0.9554896142433235
