scope,outer_fold,stage,configuration_id,feature_family,specialist,c_value,source_group_exponent,inference_cost_rank,is_exact_reference,eligible,eligibility_failures,robustness_rank,eligible_selection_rank,selected,evaluated_examples,fit_count,maximum_iterations,accuracy,macro_f1,balanced_accuracy,source_group_balanced_accuracy,ceramic_worst_group_recall,robustness_score,minimum_fold_source_group_balanced_accuracy,per_class_recall_json,per_class_group_recall_json
outer_inner_oof,2,base,global_cls__c10__source0p5,global_cls,none,10.0,0.5,6,False,True,,3,3,False,1423,4,94,0.9205903021784961,0.91751999843171,0.930692774927756,0.883105689320128,0.567725155933284,0.6911368293762307,0.8883936629278244,"{""01_opishnyan_ceramics"":0.8382978723404255,""02_ornek"":0.9829059829059829,""03_bubnivka_ceramics"":0.888235294117647,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.567725155933284,""02_ornek"":0.9827089337175793,""03_bubnivka_ceramics"":0.9113526570048309,""04_petrykivka_painting"":0.9779541446208112,""05_kosiv_ceramics"":0.9757875553241343}"
outer_inner_oof,2,base,global_cls__c100__source0,global_cls,none,100.0,0.0,6,False,True,,5,5,False,1423,4,110,0.921293042867182,0.9193439322649765,0.9366959519759895,0.8822502963287369,0.5238052699324413,0.6573386795022423,0.8760771573782362,"{""01_opishnyan_ceramics"":0.823404255319149,""02_ornek"":0.9829059829059829,""03_bubnivka_ceramics"":0.9235294117647059,""04_petrykivka_painting"":0.9759615384615384,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.5238052699324413,""02_ornek"":0.9827089337175793,""03_bubnivka_ceramics"":0.9454106280193237,""04_petrykivka_painting"":0.9835390946502057,""05_kosiv_ceramics"":0.9757875553241343}"
outer_inner_oof,2,base,global_cls__c100__source0p5,global_cls,none,100.0,0.5,6,False,True,,2,2,False,1423,4,121,0.9241040056219255,0.9220004223144599,0.936717414370731,0.8932885382434016,0.5643203725019255,0.6916819963668474,0.8908554033594897,"{""01_opishnyan_ceramics"":0.8340425531914893,""02_ornek"":0.9886039886039886,""03_bubnivka_ceramics"":0.9117647058823529,""04_petrykivka_painting"":0.9759615384615384,""05_kosiv_ceramics"":0.9732142857142857}","{""01_opishnyan_ceramics"":0.5643203725019255,""02_ornek"":0.9884726224783862,""03_bubnivka_ceramics"":0.9553140096618357,""04_petrykivka_painting"":0.9885361552028218,""05_kosiv_ceramics"":0.9697995313720386}"
outer_inner_oof,2,base,letterbox_cls_patch__c10__source0,letterbox_cls_patch,none,10.0,0.0,1,False,False,macro_f1_drop,12,,False,1423,4,109,0.9016163035839775,0.8990134356909527,0.918365722721167,0.8300680164898679,0.36183695114697184,0.5039819255503283,0.8451568482080856,"{""01_opishnyan_ceramics"":0.7936170212765957,""02_ornek"":0.9743589743589743,""03_bubnivka_ceramics"":0.9117647058823529,""04_petrykivka_painting"":0.9567307692307693,""05_kosiv_ceramics"":0.9553571428571429}","{""01_opishnyan_ceramics"":0.36183695114697184,""02_ornek"":0.9740634005763689,""03_bubnivka_ceramics"":0.8962231005709266,""04_petrykivka_painting"":0.9723691945914168,""05_kosiv_ceramics"":0.9458474355636554}"
outer_inner_oof,2,base,letterbox_cls_patch__c10__source0p5,letterbox_cls_patch,none,10.0,0.5,1,False,False,macro_f1_drop,6,,False,1423,4,110,0.9058327477160928,0.9010789413062261,0.9131600760871725,0.844321485301111,0.48179086365338636,0.6135021333977341,0.8634915084915085,"{""01_opishnyan_ceramics"":0.823404255319149,""02_ornek"":0.9829059829059829,""03_bubnivka_ceramics"":0.8470588235294118,""04_petrykivka_painting"":0.9615384615384616,""05_kosiv_ceramics"":0.9508928571428571}","{""01_opishnyan_ceramics"":0.48179086365338636,""02_ornek"":0.9827089337175793,""03_bubnivka_ceramics"":0.8338603425559946,""04_petrykivka_painting"":0.977660199882422,""05_kosiv_ceramics"":0.9455870866961729}"
outer_inner_oof,2,base,letterbox_cls_patch__c100__source0,letterbox_cls_patch,none,100.0,0.0,1,False,True,,11,10,False,1423,4,130,0.910049191848208,0.9075855296359657,0.9242605053478019,0.832222708184128,0.37057704614257636,0.5128079413422979,0.8551118236309476,"{""01_opishnyan_ceramics"":0.8148936170212766,""02_ornek"":0.9743589743589743,""03_bubnivka_ceramics"":0.9058823529411765,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9598214285714286}","{""01_opishnyan_ceramics"":0.37057704614257636,""02_ornek"":0.9740634005763689,""03_bubnivka_ceramics"":0.8816864295125164,""04_petrykivka_painting"":0.9829512051734274,""05_kosiv_ceramics"":0.9518354595157511}"
outer_inner_oof,2,base,letterbox_cls_patch__c100__source0p5,letterbox_cls_patch,none,100.0,0.5,1,False,True,,10,9,False,1423,4,136,0.9086437104708363,0.9050626253982751,0.918580752904908,0.8457163651146173,0.44501624466623174,0.5831688422592557,0.8634915084915085,"{""01_opishnyan_ceramics"":0.823404255319149,""02_ornek"":0.9772079772079773,""03_bubnivka_ceramics"":0.8705882352941177,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9553571428571429}","{""01_opishnyan_ceramics"":0.44501624466623174,""02_ornek"":0.9769452449567724,""03_bubnivka_ceramics"":0.8778216952129996,""04_petrykivka_painting"":0.9829512051734274,""05_kosiv_ceramics"":0.9458474355636554}"
outer_inner_oof,2,base,three_view_cls_logit_ensemble__c10__source0,three_view_cls_logit_ensemble,none,10.0,0.0,8,False,True,,8,7,False,1423,12,98,0.9184820801124385,0.915106503095952,0.9318132638580072,0.8635748738790335,0.4517302971493404,0.5931747901258189,0.8663265904848121,"{""01_opishnyan_ceramics"":0.823404255319149,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.9058823529411765,""04_petrykivka_painting"":0.9663461538461539,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.4517302971493404,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.9268115942028986,""04_petrykivka_painting"":0.9779541446208112,""05_kosiv_ceramics"":0.9757875553241343}"
outer_inner_oof,2,base,three_view_cls_logit_ensemble__c10__source0p5,three_view_cls_logit_ensemble,none,10.0,0.5,8,False,True,,4,4,False,1423,12,99,0.9191848208011244,0.9149556441865829,0.9279480958595476,0.8705671204556216,0.531429919215115,0.6599805868402118,0.887964017385397,"{""01_opishnyan_ceramics"":0.8382978723404255,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.8764705882352941,""04_petrykivka_painting"":0.9615384615384616,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.531429919215115,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.8823671497584541,""04_petrykivka_painting"":0.977660199882422,""05_kosiv_ceramics"":0.9757875553241343}"
outer_inner_oof,2,base,three_view_cls_logit_ensemble__c100__source0,three_view_cls_logit_ensemble,none,100.0,0.0,8,False,True,,7,6,False,1423,12,124,0.9248067463106114,0.9220652664811299,0.9369299963120363,0.8682922861548376,0.45553359961416745,0.597565457635031,0.8668278436176442,"{""01_opishnyan_ceramics"":0.8382978723404255,""02_ornek"":0.9857549857549858,""03_bubnivka_ceramics"":0.9117647058823529,""04_petrykivka_painting"":0.9711538461538461,""05_kosiv_ceramics"":0.9776785714285714}","{""01_opishnyan_ceramics"":0.45553359961416745,""02_ornek"":0.9855907780979827,""03_bubnivka_ceramics"":0.941304347826087,""04_petrykivka_painting"":0.9832451499118164,""05_kosiv_ceramics"":0.9757875553241343}"
